tweet id;name;username;tweet text;reference type;reference id;created at;like;quote;reply;retweet;tweet url;mentions;hashtags;;;;;;;;;;
1503274113699170000,00;Sang Elang;4_mrizal;@PantsuOnino @pengarang_sajak Yang dibunuhnya rakyat kok, itu sdh kategori teroris. Klu separatis tentu yg diperangi TNI. Tapi knp TDK diberantas malah dibiarkan saja, sementara jatuh korban selalu terjadi. Ketidaktegasan Jokowi ini membuat wibawa bangsa ;replied_to;1503269838340250000,00;2022-03-14T07:37:32.000Z;0;0;0;0;https://twitter.com/4_mrizal/status/1503274113699176449;@PantsuOnino,@pengarang_sajak;;;;;;;;;;;
1503274068627580000,00;100%orangcakep;1Orangcakep;@Dennysiregar7 Lagi merenung was² nunggu SK Pemecatan turun bang, akibat terlalu kepedean dengan ucapannya terkait teroris &amp;;;;;;;;;;;;;;;;;;;;
"Pingin tau besok klo udah dipecat apakah dapat jatah nasi bungkus tiap bulannya dari yg """"dibelanya""""""";replied_to;1,50326E+18;2022-03-14T07:37:22.000Z;0;0,00;0;0;https://twitter.com/1Orangcakep/status/1503274068627587072;@Dennysiregar7,@KemenBUMN;;;;;;;;;;;;;;
1503274026005060000,00;Durajat58;58UyutAyah;@liputan6dotcom lamun urusan teroris nitizen wedih comen.......soale lamun wis nempel cap ,mati kutu.;replied_to;1503269975519200000,00;2022-03-14T07:37:11.000Z;0;0;0;0;https://twitter.com/58UyutAyah/status/1503274026005069829;@liputan6dotcom;;;;;;;;;;;
1503273973899200000,00;Dedei!;Deidaraa_55;Sebelum menjadi anggota akatsuki, deidara adalah teroris bom bayaran;original;;2022-03-14T07:36:59.000Z;0;0;0;0;https://twitter.com/Deidaraa_55/status/1503273973899206658;;;;;;;;;;;;
1503273943452760000,00;Xrx;Xrx123345617184;@republikaonline Jika pondok pesantren melahirkan teroris..., Mengapa Indonesia ga hancur dari dulu??! haha;replied_to;1503269838940110000,00;2022-03-14T07:36:52.000Z;1;0;0;0;https://twitter.com/Xrx123345617184/status/1503273943452762112;@republikaonline;;;;;;;;;;;
1503273896203610000,00;Onah;dewylast;@RD_4WR1212 Vonis akhir 5th...terus banding sama MA diskon jadi 2 th...... Wes lah ambyaaaarrrrrrrr...... Teroris kok cuma 8th......teroris mah mati atau seumur hidup......;replied_to;1503239994542100000,00;2022-03-14T07:36:40.000Z;0;0;0;0;https://twitter.com/dewylast/status/1503273896203612160;@RD_4WR1212;;;;;;;;;;;
1503273711759400000,00;Moh Aak Alkaromah;aak_alkaromah;@RD_4WR1212 halaaah pura pura terkejut aja mau mangkir klo MUI jadi kandang teroris #BubarkanMUI;replied_to;1503235679895300000,00;2022-03-14T07:35:57.000Z;0;0;0;0;https://twitter.com/aak_alkaromah/status/1503273711759405060;@RD_4WR1212;BubarkanMUI;;;;;;;;;;
1503273611993710000,00;Samrat Maulana;Samrat04885628;Siapa yang membela teroris?;;;;;;;;;;;;;;;;;;;;
"Apa mereka komplotannya juga https://t.co/jmM5hoHUOU""";quoted;1,50297E+18;2022-03-14T07:35:33.000Z;0;0,00;0;0;https://twitter.com/Samrat04885628/status/1503273611993714688;;;;;;;;;;;;;;;
1503273592263700000,00;🇮🇩 Tapak Kuning 🇮🇩;TapakKuning;@RD_4WR1212 kok cuma 8 tahun sih, otak teroris macam munarman ini harusnya dihukum seumur hidup;replied_to;1503239994542100000,00;2022-03-14T07:35:28.000Z;2;0;0;1;https://twitter.com/TapakKuning/status/1503273592263700487;@RD_4WR1212;;;;;;;;;;;
